Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Year
Oliver Miller,26,2TM,C,61,8,1152,5.7,11.1,.517,0.0,0.1,.000,5.7,11.0,.521,.517,2.2,3.7,.608,4.9,9.4,14.3,4.1,2.2,2.9,4.2,8.4,13.7,99,103,,1996-1997
Oliver Miller,26,DAL,C,42,0,836,4.9,9.9,.494,0.0,0.1,.000,4.9,9.9,.497,.494,1.8,3.4,.528,5.3,9.7,15.0,3.7,2.2,3.2,4.5,8.6,11.6,92,102,,1996-1997
Oliver Miller,26,TOR,C,19,8,316,7.9,14.1,.560,0.0,0.2,.000,7.9,13.9,.566,.560,3.4,4.4,.769,3.9,8.4,12.2,4.9,2.2,2.2,3.4,8.0,19.1,115,105,,1996-1997
Jaren Jackson,29,WSB,SG,75,0,1133,6.1,15.1,.407,2.4,7.2,.335,3.7,7.8,.474,.488,2.4,3.2,.768,1.4,4.6,6.1,3.0,2.1,0.7,2.8,6.0,17.2,101,106,,1996-1997
Chris Whitney,25,WSB,PG,82,1,1117,6.5,15.4,.421,2.7,7.6,.356,3.8,7.8,.485,.509,4.4,5.3,.832,0.6,4.2,4.8,8.5,2.3,0.2,3.2,4.7,20.0,114,106,,1996-1997
Duane Ferrell,31,IND,SF,62,18,1115,7.7,16.3,.472,0.9,2.1,.409,6.8,14.2,.481,.499,2.8,4.5,.617,2.8,4.1,6.8,3.2,1.8,0.3,2.7,5.8,19.1,104,107,,1996-1997
Kobe Bryant,18,LAL,SF,71,6,1103,8.4,20.2,.417,2.4,6.5,.375,6.0,13.7,.437,.477,6.5,7.9,.819,2.2,4.1,6.3,4.3,2.3,1.1,5.3,4.9,25.7,101,105,,1996-1997
Brent Barry,25,LAC,SG,59,0,1094,7.4,18.2,.409,2.7,8.3,.324,4.8,9.9,.481,.483,3.7,4.5,.817,1.4,3.8,5.3,7.4,2.5,0.7,3.7,4.2,21.2,107,109,,1996-1997
Howard Eisley,24,UTA,PG,82,0,1083,6.8,15.2,.451,1.0,3.5,.278,5.9,11.6,.504,.484,3.4,4.4,.787,1.0,3.2,4.1,9.7,2.2,0.5,5.4,6.9,18.1,99,107,,1996-1997
Shandon Anderson,23,UTA,SG,65,0,1066,7.4,15.9,.462,1.2,2.4,.511,6.2,13.6,.454,.500,3.4,5.0,.687,2.6,6.4,9.0,2.5,1.4,0.4,3.7,5.7,19.3,99,106,,1996-1997
Andrew DeClercq,23,GSW,C,71,1,1065,7.0,13.4,.520,0.0,0.0,,7.0,13.4,.520,.520,4.5,7.4,.603,6.0,8.6,14.6,1.6,1.6,1.3,3.7,11.2,18.4,105,109,,1996-1997
Pooh Richardson,30,LAC,PG,59,18,1065,6.5,17.0,.381,2.1,6.3,.328,4.4,10.7,.412,.442,1.3,2.1,.605,1.2,3.6,4.8,8.3,2.7,0.2,3.1,4.0,16.3,99,109,,1996-1997
George Lynch,26,VAN,SF,41,27,1059,7.0,14.9,.471,0.4,1.6,.258,6.6,13.3,.496,.485,3.1,5.0,.619,5.0,8.4,13.4,3.9,3.2,0.9,3.3,5.0,17.5,102,107,,1996-1997
Randy Brown,28,CHI,PG,72,3,1057,7.1,16.8,.420,0.2,1.1,.182,6.9,15.7,.437,.426,2.9,4.2,.679,1.7,3.9,5.6,6.7,4.1,0.9,2.9,5.9,17.2,102,100,,1996-1997
Brooks Thompson,26,2TM,PG,67,6,1055,8.0,20.0,.399,4.8,12.0,.398,3.2,8.0,.401,.518,1.2,1.9,.632,0.9,3.8,4.7,8.9,2.7,0.1,4.3,6.2,21.9,103,111,,1996-1997
Brooks Thompson,26,UTA,PG,2,0,8,0.0,6.7,.000,0.0,0.0,,0.0,6.7,.000,.000,0.0,0.0,,0.0,0.0,0.0,6.7,0.0,0.0,6.7,6.7,0.0,27,114,,1996-1997
Brooks Thompson,26,DEN,PG,65,6,1047,8.0,20.1,.400,4.8,12.1,.398,3.2,8.0,.404,.520,1.2,1.9,.632,0.9,3.9,4.8,8.9,2.7,0.1,4.3,6.2,22.1,103,111,,1996-1997
Terry Dehere,25,LAC,PG,73,3,1053,7.4,19.1,.386,2.6,8.0,.325,4.8,11.1,.430,.454,6.1,7.4,.824,0.7,4.0,4.7,7.9,1.3,0.1,4.8,7.1,23.5,103,111,,1996-1997
Erick Dampier,21,IND,C,72,21,1052,6.7,17.2,.390,0.1,0.1,1.000,6.7,17.2,.388,.391,5.5,8.6,.637,4.9,10.2,15.1,2.2,1.0,3.7,4.3,7.8,19.0,91,101,,1996-1997
Matt Geiger,27,CHH,C,49,13,1044,8.9,18.2,.489,0.3,1.0,.300,8.6,17.1,.500,.497,4.6,6.6,.701,5.2,8.2,13.4,2.0,1.0,1.4,3.5,7.9,22.7,105,108,,1996-1997
Rex Walters,26,PHI,SG,59,16,1041,7.2,15.7,.455,2.8,7.2,.385,4.4,8.6,.514,.543,2.4,3.0,.790,1.0,4.2,5.2,5.5,1.4,0.1,3.0,3.6,19.5,113,115,,1996-1997
Matt Bullard,29,HOU,PF,71,12,1025,5.8,14.5,.401,3.4,9.4,.366,2.4,5.2,.465,.519,1.3,1.7,.735,0.7,5.3,6.0,3.4,1.1,0.9,1.9,3.5,16.4,106,107,,1996-1997
Donyell Marshall,23,GSW,SF,61,20,1022,8.9,21.5,.413,1.8,5.7,.315,7.1,15.8,.448,.455,3.1,5.0,.622,4.7,9.4,14.1,2.8,1.3,2.4,2.8,4.9,22.7,102,109,,1996-1997
B.J. Armstrong,29,GSW,PG,49,17,1020,7.6,16.7,.453,1.3,4.6,.278,6.3,12.1,.519,.491,3.5,4.0,.861,0.4,3.4,3.8,6.5,1.3,0.1,2.7,2.9,19.9,110,116,,1996-1997
Mark Bryant,31,PHO,PF,41,18,1018,7.7,13.9,.553,0.0,0.0,,7.7,13.9,.553,.553,3.8,5.5,.704,3.4,7.3,10.7,2.4,1.1,0.3,2.3,6.9,19.2,114,110,,1996-1997
