Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P_1,0-3_1,3-10_1,10-16_1,16-3P_1,3P_1,2P_2,3P_2,%FGA,#,%3PA,3P%,Att.,Md.,Awards,Year
Jordan Hill,26,LAL,PF,72,32,1500,.549,6.4,.998,.411,.363,.111,.113,.002,.550,.687,.487,.414,.390,.000,.584,,.094,45,.000,,1,0,,2013-2014
Steve Blake,33,2TM,PG,55,28,1498,.377,21.3,.405,.076,.040,.071,.218,.595,.378,.593,.286,.320,.338,.376,.241,.861,.000,0,.290,.410,3,0,,2013-2014
Steve Blake,33,LAL,PG,27,27,891,.378,19.8,.438,.099,.056,.082,.202,.562,.353,.652,.231,.211,.298,.397,.194,.846,.000,0,.298,.359,1,0,,2013-2014
Steve Blake,33,GSW,PG,28,1,607,.375,22.8,.342,.033,.008,.050,.250,.658,.439,.250,1.000,.667,.400,.342,.333,.889,.000,0,.278,.500,2,0,,2013-2014
Shelvin Mack,23,ATL,PG,73,11,1490,.417,14.3,.633,.250,.160,.078,.146,.367,.464,.576,.350,.487,.384,.337,.367,.694,.000,0,.239,.364,0,0,,2013-2014
Mike Scott,25,ATL,PF,80,6,1482,.479,12.8,.682,.293,.196,.091,.102,.318,.558,.712,.455,.368,.484,.310,.858,1.000,.041,22,.240,.292,2,0,,2013-2014
Ersan İlyasova,26,MIL,PF,55,47,1478,.409,13.5,.774,.299,.092,.102,.282,.226,.446,.549,.302,.339,.423,.282,.775,1.000,.014,7,.107,.214,0,0,,2013-2014
J.J. Barea,29,MIN,PG,79,1,1471,.387,13.8,.648,.290,.149,.076,.133,.352,.426,.505,.306,.420,.391,.316,.155,.452,.000,0,.095,.409,0,0,,2013-2014
Shane Battier,35,MIA,SF,73,56,1468,.382,20.1,.236,.102,.091,.029,.015,.764,.492,.643,.440,.375,.000,.348,.625,.959,.004,1,.462,.392,0,0,,2013-2014
Amar'e Stoudemire,31,NYK,C,65,21,1466,.557,7.7,1.000,.430,.233,.073,.263,.000,.557,.679,.500,.512,.422,,.621,,.147,76,,,0,0,,2013-2014
Lou Williams,27,ATL,PG,60,7,1445,.400,17.3,.531,.136,.138,.085,.172,.469,.450,.672,.471,.262,.353,.342,.373,.608,.006,3,.286,.348,3,0,,2013-2014
Derek Fisher,39,OKC,SG,81,0,1428,.391,20.5,.366,.064,.078,.061,.163,.634,.402,.478,.250,.409,.441,.384,.623,.739,.000,0,.262,.267,0,0,,2013-2014
Anthony Morrow,28,NOP,SG,76,9,1426,.458,16.8,.625,.085,.150,.179,.212,.375,.462,.591,.487,.462,.391,.451,.653,.932,.000,0,.385,.467,0,0,,2013-2014
Caron Butler,33,2TM,SF,56,13,1419,.394,19.6,.539,.070,.041,.122,.306,.461,.395,.474,.318,.394,.388,.394,.565,.939,.004,2,.305,.395,1,0,,2013-2014
Caron Butler,33,MIL,SF,34,13,821,.387,18.8,.585,.096,.045,.119,.325,.415,.406,.471,.313,.405,.400,.361,.548,.943,.006,2,.224,.364,0,0,,2013-2014
Caron Butler,33,OKC,SF,22,0,598,.409,20.4,.452,.022,.032,.129,.269,.548,.369,.500,.333,.375,.360,.441,.613,.933,.000,0,.422,.419,1,0,,2013-2014
Cody Zeller,21,CHA,C,82,3,1416,.426,8.4,.998,.490,.134,.047,.327,.002,.427,.571,.296,.368,.273,.000,.651,,.114,41,.000,,0,0,,2013-2014
Gerald Wallace,31,BOS,SF,58,16,1416,.504,9.4,.722,.548,.113,.004,.057,.278,.584,.659,.308,1.000,.385,.297,.649,1.000,.061,12,.297,.579,1,0,,2013-2014
Eric Bledsoe,24,PHO,PG,43,40,1416,.477,12.4,.748,.338,.137,.090,.183,.252,.517,.665,.382,.420,.392,.357,.126,.440,.009,5,.079,.545,0,0,,2013-2014
Elton Brand,34,ATL,C,73,15,1414,.539,9.7,.994,.244,.214,.392,.145,.006,.542,.716,.479,.515,.417,.000,.832,,.024,8,.500,.000,0,0,,2013-2014
Russell Westbrook,25,OKC,PG,46,46,1412,.437,12.9,.729,.331,.091,.137,.171,.271,.482,.592,.264,.444,.415,.318,.302,.426,.044,30,.075,.375,1,0,,2013-2014
Kelly Olynyk,22,BOS,C,70,9,1400,.466,11.0,.773,.402,.131,.090,.149,.227,.500,.653,.303,.356,.347,.351,.686,.975,.020,10,.096,.364,0,0,,2013-2014
Luis Scola,33,IND,PF,82,2,1399,.470,12.2,.988,.229,.175,.102,.482,.013,.474,.594,.388,.439,.456,.143,.763,1.000,.005,3,.571,.250,1,0,,2013-2014
Chris Andersen,35,MIA,C,72,0,1396,.644,4.2,.956,.789,.080,.018,.069,.044,.662,.747,.182,.400,.316,.250,.707,1.000,.291,78,.250,.333,1,0,6MOY-11,2013-2014
Mirza Teletović,28,BRK,SF,72,7,1396,.418,19.4,.340,.151,.081,.049,.057,.660,.472,.513,.442,.423,.467,.390,.553,.971,.021,8,.143,.400,4,0,,2013-2014
Kris Humphries,28,BOS,PF,69,30,1376,.501,11.2,.996,.286,.108,.234,.367,.004,.503,.636,.400,.426,.479,.000,.727,,.087,38,.500,.000,1,0,,2013-2014
Nick Collison,33,OKC,PF,81,0,1353,.556,7.4,.929,.577,.120,.025,.207,.071,.580,.655,.552,.500,.400,.235,.700,1.000,.100,20,.882,.200,0,0,,2013-2014
Kosta Koufos,24,MEM,C,80,22,1349,.495,5.0,1.000,.464,.414,.052,.070,.000,.495,.587,.426,.417,.344,,.736,,.083,34,,,0,0,,2013-2014
O.J. Mayo,26,MIL,SG,52,23,1346,.407,17.3,.587,.151,.104,.120,.213,.413,.433,.554,.333,.455,.385,.370,.429,.786,.004,1,.141,.469,2,0,,2013-2014
Austin Rivers,21,NOP,PG,69,4,1339,.405,9.8,.791,.386,.291,.055,.059,.209,.416,.536,.319,.231,.286,.364,.218,.972,.015,7,.222,.409,5,0,,2013-2014
