Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P_1,0-3_1,3-10_1,10-16_1,16-3P_1,3P_1,2P_2,3P_2,%FGA,#,%3PA,3P%,Att.,Md.,Awards,Year
Mike Dunleavy,26,GSW,PF,39,6,1051,.449,14.3,.719,.246,.122,.068,.284,.281,.489,.714,.289,.400,.400,.346,.700,.944,.019,6,.240,.320,0,0,,2006-2007
Mike Dunleavy,26,IND,SG,43,43,1529,.454,15.4,.750,.194,.081,.125,.350,.250,.511,.774,.385,.333,.458,.283,.652,.971,.023,11,.300,.389,0,0,,2006-2007
Desmond Mason,29,NOK,SF,75,75,2575,.452,4.2,1.000,.461,.407,.122,.010,.000,.452,.595,.355,.255,.222,,.531,,.078,56,,,0,0,,2006-2007
Al Harrington,26,2TM,PF,78,78,2563,.457,12.5,.729,.343,.102,.110,.174,.271,.466,.559,.378,.361,.399,.433,.568,.937,.047,49,.246,.486,3,0,,2006-2007
Al Harrington,26,IND,PF,36,36,1208,.458,11.7,.758,.370,.099,.123,.166,.242,.458,.556,.396,.283,.407,.458,.568,.944,.033,16,.280,.394,0,0,,2006-2007
Al Harrington,26,GSW,PF,42,42,1355,.456,13.2,.706,.322,.106,.099,.180,.294,.473,.563,.365,.441,.393,.417,.568,.932,.059,33,.223,.564,3,0,,2006-2007
Carlos Boozer,25,UTA,PF,74,74,2557,.561,6.9,1.000,.462,.166,.194,.178,.000,.561,.720,.438,.446,.385,,.697,,.065,68,,,0,0,"MVP-9,AS",2006-2007
Mark Blount,31,MIN,C,82,81,2544,.509,11.9,.963,.281,.104,.147,.431,.037,.517,.669,.333,.480,.475,.290,.825,1.000,.060,46,.323,.400,0,0,,2006-2007
Tracy McGrady,27,HOU,SG,71,71,2539,.431,16.0,.743,.201,.061,.075,.405,.257,.466,.570,.367,.378,.445,.331,.383,.595,.022,31,.047,.278,1,0,"MVP-6,AS,NBA2",2006-2007
Samuel Dalembert,25,PHI,C,82,82,2535,.541,6.4,.997,.468,.188,.242,.099,.003,.543,.643,.452,.465,.431,.000,.677,,.155,89,.000,,0,0,,2006-2007
Chauncey Billups,30,DET,PG,70,70,2533,.427,16.9,.612,.180,.042,.136,.254,.388,.479,.599,.353,.396,.459,.345,.259,.477,.001,1,.149,.277,1,0,"MVP-11,AS,NBA3",2006-2007
Tyson Chandler,24,NOK,C,73,73,2525,.624,2.4,.998,.690,.250,.047,.011,.002,.625,.712,.470,.273,.200,.000,.469,,.295,125,.000,,0,0,DPOY-9,2006-2007
Ruben Patterson,31,MIL,SF,81,53,2508,.548,4.4,.978,.631,.180,.104,.063,.022,.557,.623,.468,.411,.382,.158,.551,1.000,.076,64,.000,,0,0,,2006-2007
Tony Parker,24,SAS,PG,77,77,2499,.520,9.9,.965,.396,.141,.072,.357,.035,.525,.647,.545,.367,.412,.395,.319,.867,.000,0,.421,.375,0,0,"MVP-15,AS",2006-2007
Carmelo Anthony,22,DEN,SF,65,65,2486,.476,10.0,.897,.422,.081,.114,.281,.103,.499,.641,.407,.333,.380,.268,.584,.875,.115,157,.121,.333,2,0,"MVP-15,AS,NBA3",2006-2007
Udonis Haslem,26,MIA,PF,79,79,2483,.492,9.6,.994,.343,.107,.244,.300,.006,.495,.646,.442,.417,.405,.000,.799,,.054,33,.000,,0,0,DPOY-18,2006-2007
Stephen Jackson,28,2TM,SF,75,69,2479,.433,14.0,.671,.288,.102,.086,.195,.329,.488,.640,.417,.309,.380,.322,.482,.890,.017,16,.264,.354,0,0,,2006-2007
Stephen Jackson,28,IND,SG,37,32,1186,.419,14.1,.679,.272,.102,.098,.207,.321,.476,.641,.386,.357,.360,.297,.561,.951,.012,5,.268,.297,0,0,,2006-2007
Stephen Jackson,28,GSW,SF,38,37,1293,.446,13.8,.663,.302,.101,.076,.185,.337,.499,.639,.442,.256,.400,.341,.418,.847,.021,11,.260,.400,0,0,,2006-2007
Caron Butler,26,WAS,SF,63,63,2474,.463,11.7,.926,.314,.127,.085,.400,.074,.480,.601,.363,.386,.441,.250,.446,.611,.059,54,.208,.400,4,1,"DPOY-21,AS",2006-2007
Mo Williams,24,MIL,PG,68,68,2472,.446,14.5,.783,.213,.087,.164,.319,.217,.474,.520,.363,.529,.445,.346,.303,.722,.002,1,.162,.324,3,0,,2006-2007
Bruce Bowen,35,SAS,SF,82,82,2464,.405,18.2,.503,.122,.049,.075,.257,.497,.426,.579,.348,.429,.367,.384,.820,1.000,.002,1,.841,.410,1,0,DPOY-2,2006-2007
Jermaine O'Neal,28,IND,C,69,69,2459,.436,9.2,.994,.265,.276,.262,.191,.006,.439,.560,.444,.365,.367,.000,.602,,.055,55,.143,.000,2,0,"DPOY-10,AS",2006-2007
Smush Parker,25,LAL,PG,82,80,2457,.436,14.4,.617,.285,.094,.071,.166,.383,.479,.563,.378,.446,.408,.365,.552,.945,.020,15,.229,.377,1,0,,2006-2007
Josh Howard,26,DAL,SF,70,69,2455,.459,13.6,.778,.218,.134,.178,.248,.222,.480,.632,.451,.497,.348,.385,.426,.870,.021,22,.259,.323,2,0,"DPOY-18,AS",2006-2007
Anthony Parker,31,TOR,SG,73,73,2437,.477,16.0,.620,.188,.061,.100,.271,.380,.500,.659,.429,.319,.473,.441,.624,.983,.036,25,.648,.503,0,0,DPOY-24,2006-2007
Zach Randolph,25,POR,PF,68,67,2425,.467,8.5,.963,.329,.302,.117,.214,.037,.473,.558,.452,.344,.444,.292,.456,.857,.007,9,.104,.000,3,0,,2006-2007
DeShawn Stevenson,25,WAS,SG,82,82,2419,.461,14.6,.757,.266,.057,.070,.364,.243,.479,.605,.163,.453,.442,.404,.509,.824,.033,23,.372,.353,1,0,,2006-2007
Rasheed Wallace,32,DET,C,75,72,2419,.423,15.3,.649,.171,.113,.227,.139,.351,.463,.625,.421,.440,.333,.351,.538,.962,.046,36,.176,.346,1,1,,2006-2007
Andris Biedriņš,20,GSW,C,82,63,2382,.599,1.9,1.000,.744,.251,.003,.002,.000,.599,.667,.404,.500,.000,,.716,,.131,76,,,0,0,,2006-2007
Nick Collison,26,SEA,C,82,56,2378,.500,5.2,.997,.549,.204,.127,.116,.003,.502,.659,.277,.346,.324,.000,.657,,.107,61,.000,,0,0,,2006-2007
Marcus Camby,32,DEN,C,70,70,2369,.473,9.0,.997,.407,.135,.114,.341,.003,.475,.616,.416,.427,.347,.000,.689,,.103,62,1.000,.000,0,0,DPOY-1,2006-2007
Joe Johnson,25,ATL,SG,57,57,2359,.471,14.5,.726,.219,.133,.089,.285,.274,.504,.600,.497,.505,.434,.381,.300,.765,.005,6,.321,.430,1,0,AS,2006-2007
Chris Paul,21,NOK,PG,64,64,2353,.437,11.1,.836,.297,.194,.141,.203,.164,.455,.552,.432,.423,.356,.350,.097,.680,.008,7,.077,.273,0,0,,2006-2007
Rashard Lewis,27,SEA,SF,60,60,2348,.461,15.1,.615,.176,.179,.138,.121,.385,.505,.638,.461,.439,.451,.390,.413,.868,.043,41,.220,.388,3,0,,2006-2007
Jameer Nelson,24,ORL,PG,77,77,2331,.430,13.4,.778,.312,.070,.072,.325,.222,.457,.542,.377,.302,.426,.335,.235,.662,.000,0,.273,.377,1,0,,2006-2007
Emeka Okafor,24,CHA,C,67,65,2329,.532,4.6,1.000,.526,.296,.141,.038,.000,.532,.663,.416,.337,.357,,.673,,.157,108,,,0,0,DPOY-11,2006-2007
Adam Morrison,22,CHA,PF,78,23,2326,.376,15.7,.727,.119,.178,.130,.300,.273,.391,.518,.381,.374,.353,.337,.496,.851,.007,7,.147,.395,1,1,ROY-4,2006-2007
Al Jefferson,22,BOS,C,69,60,2319,.514,5.5,.999,.422,.404,.120,.053,.001,.514,.645,.452,.321,.383,.000,.521,,.076,65,.000,,0,0,,2006-2007
Corey Maggette,27,LAC,SF,75,31,2291,.454,11.9,.920,.337,.087,.089,.407,.080,.476,.625,.300,.306,.429,.200,.638,1.000,.022,18,.062,.250,4,0,6MOY-7,2006-2007
Kyle Korver,25,PHI,SF,74,1,2288,.440,18.3,.637,.099,.032,.150,.355,.363,.446,.643,.370,.354,.437,.430,.788,.932,.004,3,.195,.450,1,0,6MOY-5,2006-2007
Derek Fisher,32,UTA,SG,82,61,2287,.382,15.1,.769,.253,.053,.065,.397,.231,.405,.444,.333,.295,.407,.308,.552,.771,.000,0,.282,.227,2,0,,2006-2007
Ryan Gomes,24,BOS,PF,73,60,2275,.467,12.4,.942,.284,.083,.142,.433,.058,.473,.629,.267,.417,.428,.381,.708,1.000,.004,3,.381,.438,0,0,,2006-2007
Boris Diaw,24,PHO,PF,73,59,2268,.538,9.8,.921,.385,.163,.084,.288,.079,.555,.685,.538,.375,.445,.333,.546,1.000,.040,21,.556,.400,3,0,,2006-2007
Hedo Türkoğlu,27,ORL,SF,73,73,2268,.419,15.1,.659,.221,.090,.145,.203,.341,.435,.555,.324,.513,.299,.388,.407,.945,.012,7,.228,.406,2,0,,2006-2007
Andrew Bogut,22,MIL,C,66,66,2258,.553,4.4,.992,.599,.223,.100,.070,.008,.556,.658,.479,.333,.250,.200,.545,1.000,.103,62,.000,,1,0,,2006-2007
T.J. Ford,23,TOR,PG,75,71,2243,.436,11.2,.924,.305,.116,.206,.296,.076,.447,.527,.410,.435,.386,.304,.164,.619,.004,3,.261,.389,3,0,,2006-2007
Jamaal Tinsley,28,IND,PG,72,72,2243,.389,13.1,.783,.193,.195,.232,.163,.217,.409,.506,.387,.413,.317,.316,.189,.918,.000,0,.135,.192,0,0,,2006-2007
Drew Gooden,25,CLE,PF,80,80,2238,.473,9.5,.992,.286,.217,.270,.219,.008,.476,.598,.394,.410,.477,.167,.605,1.000,.070,48,.500,.333,0,0,,2006-2007
Steve Blake,26,2TM,PG,82,42,2225,.411,19.5,.591,.118,.045,.079,.350,.409,.472,.550,.304,.475,.466,.322,.465,.910,.002,1,.293,.393,5,0,,2006-2007
Steve Blake,26,MIL,PG,33,2,583,.349,20.8,.473,.062,.047,.109,.256,.527,.426,.375,.500,.429,.424,.279,.654,.789,.000,0,.235,.188,1,0,,2006-2007
Steve Blake,26,DEN,PG,49,40,1642,.432,18.3,.632,.137,.045,.068,.382,.368,.483,.577,.235,.500,.476,.343,.422,.958,.003,1,.321,.467,4,0,,2006-2007
Rasual Butler,27,NOK,SF,81,38,2223,.398,18.0,.539,.117,.055,.127,.241,.461,.424,.576,.465,.370,.368,.369,.539,.940,.016,11,.256,.398,1,0,,2006-2007
Trenton Hassell,27,MIN,SG,76,68,2223,.490,11.2,.944,.280,.147,.165,.352,.056,.505,.605,.477,.452,.462,.240,.550,1.000,.038,15,.480,.250,0,0,,2006-2007
Baron Davis,27,GSW,PG,63,62,2221,.439,12.5,.728,.319,.148,.123,.138,.272,.489,.663,.329,.346,.387,.304,.202,.518,.016,16,.146,.390,7,0,MVP-15,2006-2007
Delonte West,23,BOS,SG,69,47,2219,.427,14.4,.752,.285,.054,.078,.335,.248,.447,.603,.205,.339,.379,.365,.473,.862,.014,9,.287,.431,0,0,,2006-2007
Ray Allen,31,SEA,SG,55,55,2219,.438,16.2,.616,.181,.090,.129,.215,.384,.479,.608,.365,.477,.419,.372,.306,.806,.008,9,.181,.363,3,0,AS,2006-2007
Luther Head,24,HOU,SG,80,10,2211,.437,18.1,.427,.201,.033,.047,.146,.573,.431,.553,.348,.364,.304,.441,.488,.768,.006,4,.299,.483,3,0,6MOY-8,2006-2007
Lamar Odom,27,LAL,PF,56,56,2202,.468,11.2,.733,.407,.122,.057,.147,.267,.531,.632,.434,.359,.400,.297,.494,.741,.044,27,.126,.261,3,0,,2006-2007
Jamal Crawford,26,NYK,SG,59,36,2198,.400,15.2,.637,.213,.119,.097,.208,.363,.445,.497,.476,.453,.370,.320,.203,.777,.012,10,.292,.372,4,0,,2006-2007
Marvin Williams,20,ATL,PF,64,63,2179,.433,12.5,.936,.292,.091,.076,.477,.064,.446,.485,.484,.370,.427,.244,.756,.909,.044,25,.222,.300,0,0,,2006-2007
Chris Kaman,24,LAC,C,75,66,2176,.451,5.2,.998,.399,.439,.129,.032,.002,.452,.531,.455,.226,.333,.000,.622,,.020,13,.000,,1,0,,2006-2007
Hakim Warrick,24,MEM,PF,82,43,2152,.524,7.0,.989,.492,.174,.125,.198,.011,.530,.637,.468,.371,.418,.000,.630,,.157,103,.000,,2,0,,2006-2007
Earl Watson,27,SEA,PG,77,25,2152,.383,15.6,.592,.231,.099,.077,.185,.408,.420,.478,.353,.340,.417,.329,.205,.772,.004,2,.179,.320,1,0,,2006-2007
Ime Udoka,29,POR,SF,75,75,2144,.461,15.1,.574,.267,.062,.051,.195,.426,.502,.664,.344,.385,.360,.406,.635,.989,.000,0,.548,.417,1,0,,2006-2007
John Salmons,27,SAC,SG,79,19,2135,.456,11.4,.783,.338,.130,.141,.174,.217,.484,.634,.433,.425,.278,.357,.337,.950,.025,11,.339,.368,0,0,,2006-2007
Pau Gasol,26,MEM,C,59,59,2133,.538,7.2,.987,.365,.323,.161,.139,.013,.542,.645,.480,.522,.437,.273,.514,1.000,.099,82,.182,.000,0,0,,2006-2007
Zydrunas Ilgauskas,31,CLE,C,78,78,2130,.485,7.9,.999,.402,.214,.168,.214,.001,.486,.605,.435,.391,.388,.000,.662,,.038,28,1.000,.000,0,0,,2006-2007
Juwan Howard,33,HOU,PF,80,38,2123,.465,10.7,1.000,.224,.211,.226,.340,.000,.465,.597,.436,.367,.460,,.689,,.021,14,,,0,0,,2006-2007
Rudy Gay,20,MEM,SF,78,43,2103,.422,12.2,.812,.292,.157,.122,.241,.188,.436,.563,.420,.344,.339,.364,.465,.923,.101,62,.308,.432,5,0,ROY-3,2006-2007
Luke Ridnour,25,SEA,PG,71,58,2091,.433,12.7,.800,.203,.239,.140,.219,.200,.453,.475,.482,.433,.414,.353,.206,.735,.000,0,.288,.325,1,0,,2006-2007
Mikki Moore,31,NJN,C,79,55,2082,.609,7.2,.998,.518,.109,.101,.271,.002,.610,.687,.436,.471,.584,.000,.786,,.221,101,.000,,0,0,,2006-2007
Devin Harris,23,DAL,PG,80,61,2081,.492,8.6,.916,.508,.096,.091,.221,.084,.512,.615,.281,.519,.374,.280,.439,.714,.022,13,.240,.333,7,0,DPOY-24,2006-2007
Mike James,31,MIN,PG,82,65,2069,.422,14.3,.694,.272,.107,.044,.270,.306,.445,.560,.427,.355,.353,.372,.300,.888,.001,0,.242,.385,1,0,,2006-2007
Chucky Atkins,32,MEM,PG,75,23,2064,.434,15.5,.572,.291,.059,.059,.164,.428,.474,.524,.357,.452,.436,.379,.113,.767,.000,0,.170,.500,4,0,6MOY-8,2006-2007
Manu Ginóbili,29,SAS,SG,75,36,2060,.464,13.5,.622,.307,.128,.083,.104,.378,.505,.607,.468,.394,.337,.396,.448,.875,.013,10,.226,.479,1,0,6MOY-2,2006-2007
Tim Thomas,29,LAC,PF,76,24,2054,.414,17.1,.508,.173,.102,.126,.107,.492,.444,.688,.419,.319,.221,.382,.656,.978,.029,20,.154,.400,5,0,,2006-2007
Andrei Kirilenko,25,UTA,SF,70,70,2049,.471,9.7,.821,.488,.067,.057,.208,.179,.528,.696,.179,.250,.322,.213,.729,.875,.122,51,.240,.222,0,0,DPOY-13,2006-2007
Damien Wilkins,27,SEA,SF,82,31,2037,.435,13.0,.797,.271,.115,.125,.287,.203,.442,.632,.348,.413,.312,.410,.500,.800,.051,24,.393,.375,2,0,,2006-2007
Michael Redd,27,MIL,SF,53,53,2036,.465,13.2,.701,.305,.103,.109,.183,.299,.501,.636,.415,.438,.362,.382,.486,.829,.012,10,.301,.457,0,0,,2006-2007
Earl Boykins,30,2TM,PG,66,23,2031,.420,15.0,.689,.178,.124,.165,.222,.311,.430,.555,.389,.394,.380,.397,.224,.779,.000,0,.184,.318,0,0,,2006-2007
Earl Boykins,30,DEN,PG,31,4,877,.413,14.9,.709,.175,.119,.164,.251,.291,.429,.621,.311,.419,.358,.373,.252,.780,.000,0,.209,.304,0,0,,2006-2007
Earl Boykins,30,MIL,PG,35,19,1154,.427,15.1,.670,.182,.128,.166,.194,.330,.431,.493,.460,.369,.408,.419,.195,.778,.000,0,.163,.333,0,0,,2006-2007
Zaza Pachulia,22,ATL,C,72,47,2026,.474,5.3,.998,.619,.099,.129,.151,.002,.475,.555,.262,.392,.355,.000,.564,,.021,12,.000,,0,0,,2006-2007
Josh Childress,23,ATL,SG,55,13,2024,.504,7.3,.851,.616,.052,.050,.133,.149,.533,.621,.333,.269,.304,.338,.511,1.000,.106,52,.688,.396,1,0,6MOY-11,2006-2007
Shareef Abdur-Rahim,30,SAC,C,80,45,2015,.474,7.8,.969,.381,.304,.061,.223,.031,.484,.562,.472,.375,.397,.150,.541,1.000,.099,59,.400,.375,0,0,,2006-2007
Brandon Roy,22,POR,SG,57,55,2015,.456,12.3,.809,.268,.180,.110,.251,.191,.475,.556,.435,.452,.427,.377,.231,.909,.009,7,.315,.478,3,0,ROY-1,2006-2007
Grant Hill,34,ORL,SG,65,64,2009,.518,9.8,.982,.379,.071,.223,.309,.018,.525,.716,.447,.367,.422,.167,.512,1.000,.021,13,.500,.167,0,0,,2006-2007
Luke Walton,26,LAL,SF,60,60,1982,.474,10.1,.777,.404,.160,.084,.129,.223,.499,.618,.416,.340,.333,.387,.685,.958,.027,14,.484,.417,1,0,,2006-2007
Matt Harpring,30,UTA,SF,77,2,1965,.491,9.8,.941,.380,.102,.184,.274,.059,.501,.667,.328,.355,.433,.333,.822,.923,.005,3,.718,.357,1,0,6MOY-8,2006-2007
Richard Jefferson,26,NJN,SF,55,53,1956,.456,12.0,.782,.361,.080,.071,.271,.218,.483,.567,.491,.426,.383,.359,.681,.962,.087,49,.434,.302,0,0,,2006-2007
Mickaël Piétrus,24,GSW,SF,72,38,1937,.488,13.8,.590,.338,.063,.024,.166,.410,.558,.702,.243,.286,.423,.388,.674,.968,.101,56,.821,.401,0,0,,2006-2007
Anderson Varejão,24,CLE,C,81,6,1932,.476,5.1,.978,.603,.197,.082,.095,.022,.487,.628,.241,.333,.237,.000,.607,,.067,27,.000,,2,0,,2006-2007
Dwyane Wade,25,MIA,SG,51,50,1931,.491,11.0,.918,.366,.098,.104,.350,.082,.511,.670,.511,.400,.377,.266,.275,.238,.063,59,.089,.143,1,0,"MVP-12,AS,NBA3",2006-2007
Eric Snow,33,CLE,PG,82,45,1929,.417,8.1,.988,.485,.093,.182,.228,.012,.422,.541,.133,.356,.338,.000,.578,,.000,0,.000,,0,0,,2006-2007
Juan Dixon,28,2TM,SG,81,6,1926,.425,16.5,.679,.134,.101,.142,.302,.321,.461,.660,.451,.450,.382,.350,.550,.861,.000,0,.460,.365,2,0,,2006-2007
Juan Dixon,28,POR,SG,55,1,1243,.426,16.4,.678,.131,.110,.144,.293,.322,.455,.707,.388,.484,.354,.364,.518,.865,.000,0,.406,.397,1,0,,2006-2007
Juan Dixon,28,TOR,SG,26,5,683,.425,16.5,.680,.139,.085,.139,.317,.320,.472,.583,.591,.389,.427,.325,.602,.852,.000,0,.554,.326,1,0,,2006-2007
James Posey,30,MIA,SF,71,19,1919,.431,16.8,.400,.280,.032,.021,.067,.600,.514,.636,.286,.111,.241,.375,.517,.918,.042,18,.305,.405,0,0,,2006-2007
Erick Dampier,31,DAL,C,76,73,1915,.626,1.2,1.000,.790,.207,.003,.000,.000,.626,.689,.391,.000,,,.670,,.284,89,,,0,0,,2006-2007
Darko Miličić,21,ORL,PF,80,16,1913,.454,5.8,.998,.438,.376,.046,.139,.002,.455,.579,.408,.080,.316,.000,.586,,.104,54,.000,,0,0,,2006-2007
Jorge Garbajosa,29,TOR,PF,67,60,1909,.420,18.3,.635,.113,.059,.049,.414,.365,.464,.550,.387,.423,.457,.342,.840,1.000,.004,1,.238,.348,0,0,ROY-8,2006-2007
Chris Duhon,24,CHI,PG,78,30,1906,.408,16.0,.493,.290,.058,.039,.106,.507,.458,.543,.464,.263,.294,.359,.312,.886,.002,1,.249,.361,2,0,6MOY-11,2006-2007
David West,26,NOK,PF,52,52,1900,.476,10.3,.968,.292,.189,.177,.311,.032,.481,.623,.447,.386,.423,.320,.553,.875,.018,12,.160,.750,0,0,,2006-2007
Channing Frye,23,NYK,PF,72,59,1896,.433,13.3,.974,.149,.168,.184,.472,.026,.440,.553,.517,.378,.400,.167,.644,1.000,.022,14,.333,.000,0,0,,2006-2007
Randy Foye,23,MIN,PG,82,12,1879,.434,13.2,.732,.288,.130,.090,.224,.268,.458,.573,.411,.403,.361,.368,.259,.868,.013,8,.259,.396,3,0,ROY-5,2006-2007
Matt Carroll,26,CHA,SG,72,47,1878,.433,16.9,.594,.160,.064,.082,.289,.406,.445,.476,.524,.352,.437,.416,.695,.973,.002,0,.509,.419,0,0,,2006-2007
Jason Williams,31,MIA,PG,61,55,1865,.413,17.8,.482,.214,.039,.042,.186,.518,.493,.557,.455,.333,.462,.339,.207,.710,.000,0,.122,.444,3,0,,2006-2007
Troy Murphy,26,2TM,PF,68,48,1852,.458,15.8,.747,.191,.076,.081,.399,.253,.479,.613,.295,.404,.466,.395,.678,.966,.043,24,.143,.476,0,0,,2006-2007
Troy Murphy,26,GSW,PF,26,17,667,.450,15.8,.672,.189,.111,.083,.289,.328,.488,.706,.200,.400,.481,.373,.661,1.000,.033,6,.119,.571,0,0,,2006-2007
Troy Murphy,26,IND,PF,42,31,1185,.461,15.7,.781,.192,.060,.080,.449,.219,.476,.571,.375,.406,.461,.409,.685,.944,.047,18,.159,.429,0,0,,2006-2007
Jason Collins,28,NJN,PF,80,78,1844,.364,7.9,.987,.503,.086,.093,.305,.013,.369,.461,.308,.071,.326,.000,.764,,.053,6,.000,,0,0,,2006-2007
Willie Green,25,PHI,SG,74,36,1842,.411,13.6,.819,.225,.119,.175,.301,.181,.430,.497,.398,.375,.425,.325,.333,.863,.018,15,.185,.414,3,0,,2006-2007
Rajon Rondo,20,BOS,PG,78,25,1831,.418,7.7,.936,.482,.218,.100,.136,.064,.432,.548,.306,.356,.279,.207,.308,1.000,.033,13,.241,.571,5,0,ROY-12,2006-2007
Michael Finley,33,SAS,SF,82,16,1823,.412,18.7,.569,.081,.068,.106,.314,.431,.448,.685,.356,.414,.418,.364,.728,.981,.014,8,.399,.360,2,0,,2006-2007
Chris Webber,33,2TM,PF,61,60,1821,.452,9.3,.983,.324,.227,.175,.257,.017,.454,.643,.386,.330,.360,.364,.632,1.000,.067,41,.000,,1,0,,2006-2007
Chris Webber,33,PHI,PF,18,18,544,.387,9.8,.978,.274,.239,.165,.300,.022,.387,.587,.291,.184,.391,.400,.724,1.000,.048,10,.000,,0,0,,2006-2007
Chris Webber,33,DET,PF,43,42,1277,.489,8.7,.985,.352,.220,.181,.232,.015,.491,.667,.444,.405,.337,.333,.591,1.000,.078,31,.000,,1,0,,2006-2007
Antoine Walker,30,MIA,PF,78,15,1818,.397,13.5,.543,.328,.169,.027,.019,.457,.499,.553,.442,.389,.231,.275,.315,.929,.010,6,.151,.130,1,0,,2006-2007
Matt Barnes,26,GSW,PF,76,23,1813,.438,14.6,.538,.256,.175,.025,.081,.462,.500,.671,.345,.250,.373,.366,.698,.972,.041,24,.334,.351,0,0,,2006-2007
Andrew Bynum,19,LAL,C,82,53,1793,.558,3.4,.993,.569,.354,.063,.007,.007,.561,.683,.408,.393,.000,.000,.660,,.149,66,.333,.000,1,0,,2006-2007
Brad Miller,30,SAC,C,63,56,1783,.453,13.5,.933,.233,.097,.097,.506,.067,.475,.617,.396,.333,.452,.152,.749,1.000,.018,8,.212,.143,1,0,,2006-2007
Gerald Green,21,BOS,SF,81,26,1780,.419,15.6,.651,.211,.089,.092,.258,.349,.447,.532,.318,.412,.435,.368,.558,.958,.057,34,.283,.425,1,0,,2006-2007
Jason Kapono,25,MIA,SF,67,35,1767,.494,19.0,.627,.055,.046,.115,.410,.373,.482,.548,.192,.492,.502,.514,.653,.972,.000,0,.438,.554,0,0,,2006-2007
Antonio Daniels,31,WAS,SG,80,8,1761,.442,12.0,.838,.311,.136,.123,.267,.162,.469,.669,.340,.333,.365,.302,.353,.684,.021,8,.159,.400,0,0,,2006-2007
Martell Webster,20,POR,SF,82,27,1759,.396,17.7,.492,.205,.030,.037,.220,.508,.430,.525,.600,.278,.343,.364,.567,.934,.037,13,.500,.392,5,0,,2006-2007
Brendan Haywood,27,WAS,C,77,49,1740,.558,3.4,1.000,.614,.293,.070,.023,.000,.558,.702,.346,.200,.500,,.510,,.228,78,,,0,0,,2006-2007
Jeff Foster,30,IND,C,75,43,1740,.469,3.1,.996,.788,.108,.015,.085,.004,.471,.522,.250,.500,.273,.000,.615,,.062,15,1.000,.000,0,0,,2006-2007
Paul Pierce,29,BOS,SG,47,46,1740,.439,15.2,.676,.258,.044,.115,.260,.324,.463,.553,.297,.439,.412,.389,.417,.897,.011,9,.113,.516,2,0,,2006-2007
Maurice Evans,28,LAL,SG,76,10,1732,.432,11.8,.755,.327,.114,.138,.175,.245,.455,.531,.419,.373,.400,.361,.570,.875,.076,39,.564,.413,0,0,,2006-2007
David Lee,23,NYK,PF,58,12,1731,.600,3.3,1.000,.725,.143,.030,.103,.000,.600,.700,.386,.167,.317,,.588,,.153,59,,,0,0,6MOY-4,2006-2007
Antonio McDyess,32,DET,PF,82,3,1729,.526,10.8,1.000,.324,.048,.226,.402,.000,.526,.663,.423,.402,.498,,.792,,.091,44,,,0,0,6MOY-6,2006-2007
Nenê,24,DEN,C,64,42,1715,.570,3.8,.998,.636,.194,.097,.072,.002,.571,.701,.420,.340,.135,.000,.748,,.234,113,.000,,1,0,,2006-2007
Chuck Hayes,23,HOU,PF,78,43,1714,.573,1.3,1.000,.830,.158,.009,.003,.000,.573,.597,.491,.000,.000,,.729,,.012,4,,,0,0,,2006-2007
Jannero Pargo,27,NOK,PG,82,7,1710,.409,16.6,.698,.137,.072,.140,.348,.302,.418,.484,.400,.330,.432,.388,.302,.691,.000,0,.191,.425,1,0,,2006-2007
Jamaal Magloire,28,POR,C,81,23,1703,.504,3.4,1.000,.552,.367,.056,.025,.000,.504,.615,.372,.455,.100,,.633,,.149,54,,,0,0,,2006-2007
Quinton Ross,25,LAC,SG,81,43,1700,.467,12.0,.974,.325,.040,.135,.475,.026,.474,.634,.267,.294,.433,.200,.714,1.000,.024,9,.200,.000,1,0,DPOY-16,2006-2007
Rasho Nesterović,30,TOR,C,80,73,1676,.546,7.7,.998,.337,.337,.152,.171,.002,.548,.711,.486,.406,.472,.000,.783,,.048,16,.000,,1,0,,2006-2007
Jason Richardson,26,GSW,SG,51,49,1675,.417,15.6,.590,.240,.082,.086,.184,.410,.453,.602,.417,.365,.311,.365,.536,.936,.038,26,.319,.417,1,0,,2006-2007
Dahntay Jones,26,MEM,SG,78,25,1671,.477,9.9,.974,.386,.115,.132,.341,.026,.479,.624,.509,.295,.376,.417,.558,1.000,.050,20,.500,.500,2,0,,2006-2007
Devin Brown,28,NOK,SG,58,49,1662,.420,14.3,.591,.286,.119,.061,.124,.409,.463,.541,.455,.353,.348,.357,.421,.914,.023,13,.203,.413,3,0,,2006-2007
Eduardo Nájera,30,DEN,PF,75,36,1658,.576,5.2,.966,.664,.090,.054,.158,.034,.594,.689,.500,.421,.304,.083,.778,1.000,.040,12,.167,.500,0,0,,2006-2007
Brent Barry,35,SAS,SG,75,28,1631,.475,19.7,.325,.127,.059,.045,.094,.675,.536,.685,.560,.211,.475,.446,.770,.977,.014,6,.265,.474,1,0,,2006-2007
Andrea Bargnani,21,TOR,PF,65,2,1629,.427,17.1,.571,.190,.050,.110,.221,.429,.468,.597,.194,.333,.486,.373,.701,.910,.046,24,.026,.286,0,0,ROY-2,2006-2007
