Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot_1,PGA,And1,Blkd,Awards,Year,Off._1
Corey Maggette,22,LAC,SG,63,52,1615,0,99,1,0,0,-2.8,-3.8,39,36,51,26,97,243,10,59,,2001-2002,
Jamal Mashburn,29,CHH,SF,40,40,1601,0,7,80,13,0,1.2,0.3,59,33,49,12,84,374,14,42,,2001-2002,
Tim Hardaway,35,2TM,PG,68,16,1601,99,1,0,0,0,-0.9,-3.7,89,13,63,5,21,601,4,10,,2001-2002,
Tim Hardaway,35,DAL,PG,54,2,1276,98,2,0,0,0,4.0,-0.9,60,6,47,3,16,444,2,7,,2001-2002,
Tim Hardaway,35,DEN,PG,14,14,325,100,0,0,0,0,-20.1,-14.8,29,7,16,2,5,157,2,3,,2001-2002,
Shandon Anderson,28,NYK,SG,82,6,1596,0,53,46,1,0,-3.5,1.3,64,22,71,4,51,168,10,26,,2001-2002,
Jake Tsakalidis,22,PHO,C,67,47,1582,0,0,0,0,100,0.8,2.6,16,30,86,19,81,50,16,53,,2001-2002,
Chris Childs,34,TOR,PG,69,4,1576,100,0,0,0,0,-1.1,-0.9,92,16,67,9,16,757,5,17,,2001-2002,
Othella Harrington,28,NYK,PF,77,4,1563,0,0,0,73,27,2.4,10.7,28,17,95,34,63,89,22,26,,2001-2002,
Lucious Harris,31,NJN,SG,74,0,1553,0,93,7,0,0,3.2,-1.9,33,17,40,8,56,259,13,31,,2001-2002,
Jamaal Magloire,23,CHH,C,82,8,1549,0,0,0,0,100,3.7,4.4,26,34,93,30,131,66,27,47,,2001-2002,
Aaron Williams,30,NJN,PF,82,13,1546,0,0,5,76,20,4.1,-0.4,20,34,121,21,88,163,16,45,,2001-2002,
Speedy Claxton,23,PHI,PG,67,18,1528,100,0,0,0,0,-0.6,-4.3,56,28,50,6,54,426,13,50,,2001-2002,
Greg Anthony,34,2TM,PG,60,38,1514,100,0,0,0,0,-9.3,-3.7,69,17,56,3,30,601,3,16,,2001-2002,
Greg Anthony,34,CHI,PG,36,35,961,100,0,0,0,0,-10.7,-1.5,43,11,37,1,22,424,2,11,,2001-2002,
Greg Anthony,34,MIL,PG,24,3,553,100,0,0,0,0,-6.8,-7.7,26,6,19,2,8,177,1,5,,2001-2002,
Todd MacCulloch,26,NJN,C,62,61,1502,0,0,0,0,100,6.6,3.7,18,24,111,13,85,169,22,67,,2001-2002,
Tyrone Nesby,26,WAS,SF,70,9,1498,1,10,66,23,0,-0.1,2.1,20,12,69,14,45,202,10,22,,2001-2002,
Toni Kukoč,33,ATL,SF,59,9,1494,0,2,90,8,0,-2.3,4.1,67,31,33,8,62,458,15,26,,2001-2002,
Adonal Foyle,26,GSW,C,79,36,1485,0,0,0,5,96,-6.3,-0.5,28,17,115,14,35,86,11,29,,2001-2002,
Aaron McKie,29,PHI,SG,48,16,1471,0,44,54,2,0,3.5,2.5,56,22,27,10,49,373,8,41,,2001-2002,
Tyronn Lue,24,WAS,PG,71,0,1458,91,9,0,0,0,-0.6,1.2,58,29,30,1,22,511,11,34,,2001-2002,
Troy Murphy,21,GSW,PF,82,4,1448,0,0,2,70,29,-7.9,-3.0,19,35,101,21,67,156,18,28,,2001-2002,
Tony Delk,28,2TM,SG,63,17,1447,38,62,0,0,0,4.1,4.6,31,20,37,6,38,306,6,22,,2001-2002,
Tony Delk,28,PHO,SG,41,1,877,38,62,0,0,0,3.0,5.0,23,13,19,4,26,179,6,16,,2001-2002,
Tony Delk,28,BOS,SG,22,16,570,39,61,0,0,0,5.6,3.9,8,7,18,2,12,127,0,6,,2001-2002,
Christian Laettner,32,WAS,PF,57,48,1441,0,0,1,65,34,-4.5,-4.9,47,18,45,12,27,327,7,15,,2001-2002,
Jarron Collins,23,UTA,C,70,68,1440,0,0,0,1,99,2.3,1.6,19,17,104,8,69,128,9,61,,2001-2002,
Corie Blount,33,PHI,PF,72,21,1426,0,0,1,89,10,-3.5,-8.6,21,8,78,12,18,96,5,18,,2001-2002,
Michael Redd,22,MIL,SG,67,8,1417,3,75,22,1,0,2.0,3.4,26,11,42,12,49,204,9,32,,2001-2002,
Kendall Gill,33,MIA,SG,65,49,1410,4,90,6,0,0,-3.5,-2.6,30,13,59,6,23,216,4,27,,2001-2002,
Fred Hoiberg,29,CHI,SG,79,8,1408,6,91,3,0,0,-7.6,3.0,22,9,43,1,30,291,5,18,,2001-2002,
Jason Collins,23,NJN,C,77,9,1407,0,0,0,4,96,3.5,-1.4,16,23,67,20,68,173,10,32,,2001-2002,
Tyson Chandler,19,CHI,C,71,31,1389,0,0,2,54,45,-7.6,3.0,39,26,94,24,97,112,22,21,,2001-2002,
Adrian Griffin,27,DAL,SG,58,34,1383,0,73,25,2,0,6.2,2.4,18,11,49,3,25,249,9,25,,2001-2002,
Charles Oakley,38,CHI,PF,57,36,1383,0,0,6,93,1,-12.8,-5.0,70,10,99,5,8,241,0,4,,2001-2002,
Hakeem Olajuwon,39,TOR,C,61,37,1378,0,0,0,0,100,1.1,2.5,49,31,79,3,42,148,10,32,,2001-2002,
Hanno Möttölä,25,ATL,C,82,14,1371,0,0,0,0,100,-5.5,-1.1,39,17,91,7,35,120,4,39,,2001-2002,
Eduardo Nájera,25,DAL,PF,62,11,1357,0,1,53,45,2,12.5,11.9,22,8,59,9,58,92,14,26,,2001-2002,
Avery Johnson,36,2TM,PG,68,13,1352,100,0,0,0,0,-6.7,-1.7,47,21,28,5,71,651,12,45,,2001-2002,
Avery Johnson,36,DEN,PG,51,13,1200,100,0,0,0,0,-7.5,-1.3,40,20,24,4,63,587,12,42,,2001-2002,
Avery Johnson,36,DAL,PG,17,0,152,100,0,0,0,0,-0.1,-4.9,7,1,4,1,8,64,0,3,,2001-2002,
Jahidi White,25,WAS,C,71,69,1346,0,0,0,3,97,-3.2,-2.7,13,24,87,12,73,38,20,28,,2001-2002,
Vitaly Potapenko,26,BOS,C,79,9,1343,0,0,0,3,97,-3.0,-8.0,19,18,74,8,50,72,6,32,,2001-2002,
Zydrunas Ilgauskas,26,CLE,C,62,23,1329,0,0,0,0,100,-4.0,-0.3,23,20,96,27,125,158,19,42,,2001-2002,
Courtney Alexander,24,WAS,SG,56,28,1325,2,41,56,1,0,-6.0,-6.9,30,13,41,14,47,185,5,33,,2001-2002,
Stacey Augmon,33,CHH,SG,77,3,1319,1,58,40,1,0,5.1,6.1,24,16,44,8,41,233,6,15,,2001-2002,
Al Harrington,21,IND,PF,44,1,1313,0,0,41,58,1,-1.6,-2.4,17,20,59,25,64,123,15,26,,2001-2002,
Scott Padgett,25,UTA,PF,75,1,1295,0,0,21,74,5,3.1,2.7,36,17,76,6,43,182,13,38,,2001-2002,
Terry Porter,38,SAS,PG,72,0,1294,91,9,0,0,0,14.6,11.2,50,17,34,12,13,458,4,13,,2001-2002,
Austin Croshere,26,IND,PF,76,1,1286,0,0,12,70,17,0.8,1.0,26,19,61,11,44,181,7,26,,2001-2002,
Monty Williams,30,ORL,SF,68,19,1284,0,5,78,16,0,-3.0,-7.0,25,29,60,15,61,217,12,45,,2001-2002,
Ira Newble,27,ATL,SF,42,35,1273,0,84,17,0,0,-0.3,6.7,27,9,62,6,38,106,8,28,,2001-2002,
Brendan Haywood,22,WAS,C,62,2,1266,0,0,0,0,100,-1.4,0.0,9,13,69,16,67,63,11,29,,2001-2002,
Lorenzen Wright,26,MEM,C,43,33,1251,0,0,0,71,29,-6.4,2.6,30,15,56,14,53,100,19,47,,2001-2002,
Tony Massenburg,34,MEM,PF,73,31,1247,0,0,6,89,5,-13.8,-8.1,12,37,106,9,53,54,13,35,,2001-2002,
Chris Mills,32,GSW,SF,66,0,1237,0,7,89,4,0,-5.8,0.2,25,21,42,3,30,163,7,18,,2001-2002,
Shawn Kemp,32,POR,PF,75,5,1232,0,0,0,49,51,-1.3,-7.2,23,20,106,23,56,115,9,46,,2001-2002,
Hubert Davis,31,WAS,SG,51,17,1231,17,78,5,0,0,-1.6,-0.4,26,13,19,4,9,232,0,6,,2001-2002,
Eddie House,23,MIA,PG,64,3,1230,100,0,0,0,0,-2.9,-1.5,40,20,40,7,14,272,2,21,,2001-2002,
Vladimir Radmanović,21,SEA,PF,61,16,1230,0,0,5,77,19,2.8,-0.9,29,24,67,11,28,180,2,28,,2001-2002,
Darvin Ham,28,MIL,SF,70,2,1208,0,21,70,9,0,1.6,2.6,28,24,69,21,53,171,16,14,,2001-2002,
Dan Majerle,36,PHO,SG,65,1,1180,2,43,54,2,0,1.8,3.8,23,7,40,3,8,188,1,7,,2001-2002,
Željko Rebrača,29,DET,C,74,4,1179,0,0,0,0,100,2.6,-0.1,6,19,65,30,60,96,9,29,,2001-2002,
Predrag Drobnjak,26,SEA,C,64,12,1174,0,0,0,20,80,3.5,0.1,17,16,40,11,32,114,7,34,,2001-2002,
Dion Glover,23,ATL,SG,55,25,1156,1,62,37,0,0,-10.8,-8.5,33,21,38,16,45,185,8,41,,2001-2002,
Gilbert Arenas,20,GSW,PG,47,30,1155,96,4,0,0,0,-6.4,-0.6,58,17,36,14,60,390,10,30,,2001-2002,
Brevin Knight,26,MEM,PG,53,11,1151,100,0,0,0,0,-6.3,2.6,82,14,49,10,29,645,7,25,,2001-2002,
Eddy Curry,19,CHI,C,72,31,1150,0,0,0,0,100,-12.1,-3.6,15,25,85,23,81,53,16,60,,2001-2002,
Charles Smith,26,SAS,SG,60,22,1141,21,79,1,0,0,-0.3,-10.5,25,19,52,8,28,173,8,37,,2001-2002,
Gary Trent,27,MIN,PF,64,10,1140,0,0,46,53,1,-2.7,-9.0,16,16,85,15,66,138,20,40,,2001-2002,
DeShawn Stevenson,20,UTA,SG,67,23,1134,12,86,3,0,0,-5.6,-9.6,35,18,36,8,19,239,0,34,,2001-2002,
Tom Gugliotta,32,PHO,PF,44,40,1129,0,0,0,63,37,-1.9,-1.6,38,10,64,11,19,164,5,15,,2001-2002,
Joel Przybilla,22,MIL,C,71,62,1128,0,0,0,0,100,-2.7,-3.5,16,8,111,12,44,45,10,23,,2001-2002,
Walt Williams,31,HOU,SF,48,25,1117,0,1,78,21,0,-3.0,3.6,27,13,53,8,15,149,5,27,,2001-2002,
Terence Morris,23,HOU,SF,68,12,1110,0,1,71,28,0,-11.1,-7.6,25,11,46,6,10,142,2,22,,2001-2002,
Greg Ostertag,28,UTA,C,74,14,1107,0,0,0,0,100,3.2,2.7,17,18,114,5,58,111,10,27,,2001-2002,
Brian Skinner,25,CLE,PF,65,8,1107,0,0,0,65,35,-1.5,3.1,13,13,55,10,37,41,10,27,,2001-2002,
Damon Jones,25,DET,PG,67,0,1083,98,2,0,0,0,6.3,5.0,40,15,31,1,19,314,3,15,,2001-2002,
Óscar Torres,25,HOU,SG,65,13,1075,0,45,53,2,0,-8.6,-4.1,23,12,23,4,44,86,6,27,,2001-2002,
Charlie Ward,31,NYK,PG,63,0,1058,94,7,0,0,0,-0.8,4.6,47,25,47,1,19,442,3,5,,2001-2002,
Anthony Carter,26,MIA,PG,46,18,1050,70,30,0,0,0,-9.6,-10.6,44,18,47,6,14,477,4,11,,2001-2002,
Marcus Camby,27,NYK,C,29,29,1007,0,0,0,5,95,-4.5,-0.5,22,12,63,3,46,74,8,22,,2001-2002,
Lamar Odom,22,LAC,SF,29,25,999,0,0,59,41,0,-0.2,0.5,56,14,48,13,44,370,10,18,,2001-2002,
Art Long,29,SEA,PF,63,27,989,0,0,6,74,20,0.1,-4.3,19,17,79,14,37,88,4,20,,2001-2002,
Earl Watson,22,SEA,PG,64,0,964,100,0,0,0,0,3.5,0.2,34,10,35,3,13,272,6,20,,2001-2002,
Terrell Brandon,31,MIN,PG,32,28,962,100,0,0,0,0,7.6,5.0,28,12,17,1,28,556,3,14,,2001-2002,
Jerome James,26,SEA,C,56,40,949,0,0,0,0,100,10.2,8.9,8,24,80,24,27,54,4,10,,2001-2002,
John Starks,36,UTA,SG,66,1,929,10,90,0,0,0,-0.2,-1.9,24,12,44,14,12,149,1,22,,2001-2002,
Patrick Ewing,39,ORL,C,65,4,901,0,0,0,0,100,-1.5,-4.2,20,24,67,11,58,84,13,22,,2001-2002,
Jake Voskuhl,24,PHO,C,59,34,900,0,0,0,0,100,-5.0,-5.4,11,10,47,17,53,38,7,26,,2001-2002,
George Lynch,31,CHH,SF,45,18,893,0,48,48,5,0,0.4,-0.8,25,12,44,2,16,114,3,23,,2001-2002,
Raja Bell,25,PHI,SG,74,12,890,1,60,38,1,0,-4.8,-8.8,20,13,37,7,18,156,1,16,,2001-2002,
Dell Curry,37,TOR,SG,56,4,886,6,83,11,0,0,-0.1,0.5,28,9,22,4,6,126,1,9,,2001-2002,
Greg Buckner,25,DAL,SG,44,16,885,1,80,19,0,0,1.6,-3.9,17,3,45,0,17,106,4,21,,2001-2002,
Vladimir Stepania,25,MIA,C,67,4,884,0,0,0,1,99,-4.9,-4.0,11,19,43,12,43,34,10,22,,2001-2002,
Will Solomon,23,MEM,SG,62,4,872,38,61,1,0,0,-6.4,2.3,33,18,26,4,21,195,3,22,,2001-2002,
Kevin Willis,39,HOU,PF,52,5,865,0,0,0,0,100,-7.1,-1.9,13,11,34,10,40,36,6,17,,2001-2002,
Zendon Hamilton,26,DEN,PF,54,15,848,0,0,1,45,54,-13.7,-9.1,14,22,40,13,84,32,18,46,,2001-2002,
Donnell Harvey,21,2TM,PF,47,4,841,0,2,27,67,4,0.6,6.2,16,9,60,5,30,79,9,25,,2001-2002,
Donnell Harvey,21,DAL,PF,18,0,162,0,10,52,34,4,1.5,-3.2,3,3,9,1,7,11,0,3,,2001-2002,
Donnell Harvey,21,DEN,PF,29,4,679,0,0,21,76,4,0.4,8.4,13,6,51,4,23,68,9,22,,2001-2002,
Kwame Brown,19,WAS,PF,57,3,817,0,0,2,60,38,-4.8,-4.3,13,18,67,5,47,93,9,28,,2001-2002,
Tyrone Hill,33,CLE,PF,26,26,810,0,0,0,74,26,-2.2,1.9,16,11,54,13,43,49,9,31,,2001-2002,
Chris Gatling,34,MIA,PF,54,1,809,0,0,0,95,5,-3.6,-2.3,21,21,31,14,47,60,10,21,,2001-2002,
John Crotty,32,UTA,PG,41,0,802,86,14,0,0,0,3.5,2.8,33,11,19,5,10,313,2,13,,2001-2002,
Danny Ferry,35,SAS,SF,50,2,799,0,0,91,9,0,8.6,1.8,17,2,34,1,4,107,0,5,,2001-2002,
Milt Palacio,23,2TM,PG,69,1,790,92,8,0,0,0,-6.2,-8.6,22,12,30,3,27,196,6,25,,2001-2002,
Milt Palacio,23,BOS,PG,41,0,518,99,1,0,0,0,-10.1,-14.2,8,10,23,3,18,132,3,14,,2001-2002,
Milt Palacio,23,PHO,SG,28,1,272,78,22,0,0,0,1.2,2.1,14,2,7,0,9,64,3,11,,2001-2002,
Derrick McKey,35,PHI,SF,41,1,784,0,0,45,54,1,0.7,-1.6,11,5,50,2,4,92,0,5,,2001-2002,
Steve Kerr,36,POR,PG,65,0,775,46,54,0,0,0,3.0,-0.8,13,8,19,1,8,142,2,3,,2001-2002,
Bryce Drew,27,CHH,PG,61,0,774,100,0,0,0,0,2.0,1.3,17,6,20,2,5,221,0,5,,2001-2002,
Emanual Davis,33,ATL,PG,28,20,774,85,16,0,0,0,-8.9,-5.0,30,8,31,4,8,150,5,7,,2001-2002,
Earl Boykins,25,LAC,PG,68,2,761,100,0,0,0,0,0.2,0.9,30,11,12,1,10,316,2,15,,2001-2002,
Shawn Bradley,29,DAL,C,53,16,757,0,0,0,0,100,5.5,1.1,10,7,67,3,28,41,6,19,,2001-2002,
Scott Williams,33,DEN,PF,41,16,737,0,0,0,46,54,-11.5,-6.0,11,12,44,3,20,33,4,16,,2001-2002,
Stanislav Medvedenko,22,LAL,C,71,6,729,0,0,0,22,78,6.6,-1.1,18,13,54,4,28,96,10,23,,2001-2002,
Sean Rooks,32,LAC,C,61,2,728,0,0,0,14,86,-1.0,-0.5,11,4,72,4,12,53,3,5,,2001-2002,
Sam Mitchell,38,MIN,SF,74,10,726,0,45,49,5,0,2.4,-1.7,13,8,31,4,19,103,4,12,,2001-2002,
Johnny Newman,38,DAL,SF,47,17,724,2,56,41,1,0,1.2,-4.2,6,6,22,4,23,31,2,9,,2001-2002,
Lawrence Funderburke,31,SAC,PF,56,1,722,0,0,0,88,12,5.0,-3.7,13,11,32,3,21,72,6,6,,2001-2002,
Walter McCarty,27,BOS,PF,56,0,718,0,0,5,67,29,-0.7,-3.7,11,7,41,4,6,100,1,6,,2001-2002,
Don Reid,28,ORL,PF,68,5,714,0,0,7,82,11,-2.8,-5.6,23,11,92,17,35,60,12,22,,2001-2002,
Mitch Richmond,36,LAL,SG,64,2,709,15,80,5,0,0,9.7,2.8,15,13,23,10,16,130,3,10,,2001-2002,
Michael Doleac,24,CLE,C,42,15,705,0,0,0,44,56,-9.1,-6.5,16,10,55,8,20,52,2,16,,2001-2002,
Bimbo Coles,33,CLE,PG,47,1,693,100,0,0,0,0,-14.9,-13.5,18,8,18,4,12,228,3,9,,2001-2002,
Jud Buechler,33,2TM,SF,66,2,684,0,54,44,2,0,-6.8,-10.0,11,2,28,1,0,72,0,2,,2001-2002,
Jud Buechler,33,PHO,SF,6,0,54,0,32,68,0,0,4.6,5.4,1,0,4,0,0,6,0,0,,2001-2002,
Jud Buechler,33,ORL,SF,60,2,630,0,56,42,3,0,-7.8,-11.3,10,2,24,1,0,66,0,2,,2001-2002,
Robert Traylor,24,CHH,PF,61,1,678,0,0,4,77,19,-3.8,-5.8,9,11,66,14,38,78,6,31,,2001-2002,
Bryant Stith,31,CLE,SG,50,5,665,2,88,11,0,0,-8.8,-6.1,15,5,22,5,24,88,11,15,,2001-2002,
Eric Montross,30,TOR,C,49,24,655,0,0,0,0,100,-9.0,-10.1,7,8,57,7,10,36,1,12,,2001-2002,
Mark Strickland,31,ATL,SF,46,10,654,0,5,77,18,0,-6.6,-2.1,16,4,22,2,20,49,2,15,,2001-2002,
Eddie Robinson,25,CHI,SF,29,12,653,0,28,70,2,0,-11.0,-1.7,16,14,20,2,23,76,4,10,,2001-2002,
Mark Madsen,26,LAL,PF,59,5,650,0,0,0,71,29,7.3,-0.2,5,10,46,3,20,98,4,21,,2001-2002,
Dalibor Bagarić,21,CHI,C,50,0,638,0,0,0,9,91,-11.6,-2.4,15,12,49,9,31,53,8,19,,2001-2002,
Andrew DeClercq,28,ORL,C,61,14,633,0,0,0,22,79,0.0,-2.0,13,6,79,6,24,52,4,21,,2001-2002,
Brian Shaw,35,LAL,PG,58,0,631,38,61,1,0,0,7.6,0.2,23,5,15,4,5,201,0,7,,2001-2002,
Etan Thomas,23,WAS,C,47,0,618,0,0,0,28,72,1.6,3.5,5,6,40,11,37,13,12,17,,2001-2002,
Howard Eisley,29,NYK,PG,39,0,609,100,1,0,0,0,0.0,5.0,29,15,28,3,8,217,1,11,,2001-2002,
A.J. Guyton,23,CHI,PG,45,6,607,98,3,0,0,0,-5.0,5.4,22,12,9,1,8,178,1,3,,2001-2002,
Glen Rice,34,HOU,SF,20,20,606,0,4,93,3,0,-2.4,3.8,10,5,16,4,12,64,5,8,,2001-2002,
Shammond Williams,26,SEA,SG,50,2,603,22,78,1,0,0,-1.4,-5.6,25,7,10,0,9,181,2,8,,2001-2002,
Wang Zhizhi,24,DAL,C,55,0,600,0,0,0,13,87,6.0,1.7,13,7,43,2,24,50,2,12,,2001-2002,
Rafer Alston,25,MIL,PG,50,7,600,95,5,0,0,0,-4.0,-4.5,19,14,18,1,12,333,0,10,,2001-2002,
Mookie Blaylock,34,GSW,PG,35,0,599,100,0,0,0,0,-7.5,-1.9,28,8,13,1,1,241,1,6,,2001-2002,
John Amaechi,31,UTA,PF,54,0,586,0,0,0,14,86,-12.7,-16.4,18,15,29,13,44,63,7,38,,2001-2002,
Cal Bowdler,24,ATL,PF,52,0,585,0,0,1,41,58,-1.6,3.8,2,5,43,1,22,23,3,13,,2001-2002,
Dana Barros,34,DET,PG,29,20,582,100,0,0,0,0,0.6,-2.4,20,7,14,3,11,166,4,6,,2001-2002,
Felipe López,27,MIN,SG,67,0,581,3,59,38,0,0,-2.7,-7.6,13,6,32,12,22,84,3,21,,2001-2002,
Kenny Satterfield,20,DEN,PG,36,4,560,98,2,0,0,0,-5.9,0.8,33,14,9,6,15,228,4,21,,2001-2002,
Danny Manning,35,DAL,PF,41,10,552,0,0,9,73,18,-3.1,-8.9,20,0,45,3,14,64,3,8,,2001-2002,
Rusty LaRue,28,UTA,PG,33,0,542,90,10,0,0,0,-6.3,-8.7,29,8,28,3,9,154,3,9,,2001-2002,
Rick Brunson,29,POR,PG,59,2,520,52,47,1,0,0,-0.9,-5.2,26,12,19,4,12,246,3,12,,2001-2002,
Loren Woods,23,MIN,C,60,0,516,0,0,0,0,100,-3.6,-8.5,12,11,33,6,24,50,3,8,,2001-2002,
Steven Hunter,20,ORL,C,53,21,516,0,0,0,6,95,-7.5,-10.7,6,5,52,1,44,13,5,19,,2001-2002,
Grant Hill,29,ORL,SF,14,14,512,0,2,80,18,0,0.0,-1.9,23,7,17,5,36,141,8,16,,2001-2002,
Vonteego Cummings,25,PHI,PG,58,1,501,60,41,0,0,0,-11.5,-15.4,16,15,25,2,11,127,4,12,,2001-2002,
Marc Jackson,27,2TM,C,39,0,495,0,0,0,13,87,-3.0,-3.8,2,9,20,11,37,29,8,21,,2001-2002,
Marc Jackson,27,GSW,C,17,0,169,0,0,0,1,99,-5.3,0.6,1,3,3,6,21,14,4,8,,2001-2002,
Marc Jackson,27,MIN,C,22,0,326,0,0,0,20,81,-1.8,-6.0,1,6,17,5,16,15,4,13,,2001-2002,
John Wallace,27,PHO,SF,46,0,490,0,5,12,68,15,-7.4,-7.5,13,9,37,3,23,63,6,18,,2001-2002,
Quincy Lewis,24,UTA,SG,36,19,490,0,93,7,0,0,-2.6,-4.4,11,5,33,11,9,78,2,5,,2001-2002,
Jamal Crawford,21,CHI,PG,23,6,481,98,2,0,0,0,-13.1,-4.1,22,8,11,0,7,118,3,3,,2001-2002,
Trajan Langdon,25,CLE,SG,44,0,477,59,39,2,0,0,-0.7,3.4,19,9,24,8,16,128,5,9,,2001-2002,
Tracy Murray,30,TOR,SF,40,3,473,0,6,90,4,0,-7.1,-7.5,16,6,13,2,8,40,0,10,,2001-2002,
Alton Ford,20,PHO,PF,53,0,452,0,0,0,29,71,-10.0,-10.3,7,11,33,10,27,14,7,10,,2001-2002,
Tariq Abdul-Wahad,27,2TM,SG,24,12,441,0,63,36,1,0,-5.6,0.4,10,10,26,5,18,54,5,19,,2001-2002,
Tariq Abdul-Wahad,27,DEN,SG,20,12,417,0,64,35,1,0,-5.8,0.9,8,9,23,5,17,48,5,18,,2001-2002,
Tariq Abdul-Wahad,27,DAL,SG,4,0,24,0,47,53,0,0,-2.5,-7.1,2,1,3,0,1,6,0,1,,2001-2002,
Dan Langhi,24,HOU,SF,34,8,434,0,0,62,37,1,-20.6,-16.9,3,1,15,4,4,32,1,4,,2001-2002,
Gerald Wallace,19,SAC,SF,54,1,430,0,32,60,8,0,2.3,-6.4,7,8,20,4,21,61,6,21,,2001-2002,
Travis Knight,27,NYK,C,49,0,429,0,0,0,8,92,-11.0,-7.6,13,6,50,4,9,18,1,6,,2001-2002,
Mark Pope,29,MIL,PF,45,12,426,0,0,2,37,62,-4.9,-5.3,5,4,23,3,9,43,1,3,,2001-2002,
Alan Henderson,29,ATL,PF,26,1,422,0,0,0,32,69,2.2,7.9,3,9,21,5,18,23,5,18,,2001-2002,
Mark Blount,26,BOS,C,44,0,415,0,0,0,0,100,-6.9,-10.3,6,7,32,3,15,24,3,10,,2001-2002,
Mengke Bateer,26,DEN,C,27,10,408,0,0,0,0,100,-7.8,-1.4,12,2,33,15,20,46,8,14,,2001-2002,
Tierre Brown,22,HOU,SG,40,1,403,81,18,1,0,0,-18.3,-14.2,18,18,13,3,12,157,2,12,,2001-2002,
Eddie Gill,23,MEM,PG,23,5,384,100,0,0,0,0,-19.8,-12.8,19,12,11,3,11,104,1,3,,2001-2002,
Carlos Arroyo,22,2TM,PG,37,1,371,80,20,0,0,0,-4.9,0.3,13,4,13,3,5,147,0,13,,2001-2002,
Carlos Arroyo,22,TOR,PG,17,0,96,100,0,0,0,0,-14.5,-14.3,7,0,5,2,2,46,0,5,,2001-2002,
Carlos Arroyo,22,DEN,PG,20,1,275,73,27,0,0,0,-1.5,5.4,6,4,8,1,3,101,0,8,,2001-2002,
Anthony Johnson,27,NJN,SG,34,0,366,86,14,0,0,0,5.1,0.8,10,5,8,1,11,103,1,5,,2001-2002,
Jason Collier,24,HOU,C,25,2,365,0,0,0,0,100,-16.4,-11.9,4,7,27,1,18,21,4,13,,2001-2002,
Matt Bullard,34,CHH,PF,31,0,350,0,1,32,67,0,-6.3,-8.1,7,3,13,1,3,36,1,6,,2001-2002,
Bobby Simmons,21,WAS,SF,30,3,343,0,2,80,14,4,0.2,1.8,4,6,9,2,14,37,4,9,,2001-2002,
Tremaine Fowlkes,25,LAC,SF,22,17,343,0,0,99,1,0,-7.3,-7.3,4,5,18,3,13,39,1,8,,2001-2002,
Chris Dudley,36,POR,C,43,2,327,0,0,0,3,97,3.3,-0.3,5,6,21,2,6,31,1,6,,2001-2002,
Antonis Fotsis,20,MEM,PF,28,1,320,0,0,14,67,19,-6.2,2.1,6,9,12,1,9,21,2,9,,2001-2002,
Sean Marks,26,MIA,C,21,6,319,0,0,0,23,77,-7.4,-6.1,5,6,17,2,15,18,2,7,,2001-2002,
Isaac Austin,32,MEM,C,21,8,307,0,0,0,78,22,-14.1,-6.4,8,1,24,1,1,28,0,3,,2001-2002,
Evan Eschmeyer,26,DAL,C,31,6,299,0,0,4,55,41,3.5,-1.2,4,6,34,6,13,21,1,9,,2001-2002,
Derrick Dial,26,2TM,SG,32,0,299,88,12,0,0,0,5.0,1.3,5,5,6,4,11,75,6,8,,2001-2002,
Derrick Dial,26,NJN,SG,25,0,249,96,4,0,0,0,0.7,-3.9,4,4,6,3,9,66,6,7,,2001-2002,
Derrick Dial,26,TOR,SG,7,0,50,49,51,0,0,0,26.7,27.6,1,1,0,1,2,9,0,1,,2001-2002,
Brian Scalabrine,23,NJN,PF,28,0,290,0,0,0,63,37,2.7,-1.8,11,4,13,4,6,51,1,9,,2001-2002,
Jason Caffey,28,MIL,PF,23,0,283,0,0,4,43,53,-3.7,-3.8,6,5,13,8,18,29,1,11,,2001-2002,
Jermaine Jackson,25,TOR,SG,24,0,280,18,64,18,1,0,-4.8,-4.6,9,4,8,1,5,124,0,5,,2001-2002,
Calvin Booth,25,SEA,C,15,15,279,0,0,0,57,44,-8.5,-12.8,3,7,24,5,12,33,2,4,,2001-2002,
Chris Andersen,23,DEN,C,24,1,262,0,0,0,31,69,6.0,13.5,6,7,24,0,14,15,4,6,,2001-2002,
William Avery,22,MIN,PG,28,0,258,100,0,0,0,0,-1.4,-5.5,14,3,5,1,9,79,2,9,,2001-2002,
Shawnelle Scott,29,DEN,C,21,10,252,0,0,0,53,48,-6.0,0.7,4,6,20,2,11,17,4,9,,2001-2002,
Robert Pack,32,MIN,PG,16,0,252,100,0,0,0,0,-3.6,-7.9,9,3,4,5,7,103,1,4,,2001-2002,
Felton Spencer,34,NYK,C,32,8,248,0,0,0,0,100,-3.2,1.1,2,1,37,6,15,7,1,6,,2001-2002,
Ruben Boumtje-Boumtje,23,POR,C,33,1,245,0,0,0,0,100,-14.6,-19.4,4,3,15,5,12,10,4,5,,2001-2002,
Kedrick Brown,20,BOS,SF,29,5,245,0,20,80,0,0,-0.6,-3.1,1,4,6,1,7,39,0,3,,2001-2002,
